time,city,icon,summary,precipIntensity,precipAccumulation,precipType,temperature,apparentTemperature,dewPoint,pressure,windSpeed,windGust,windBearing,cloudCover,snowAccumulation
2022-11-01 00:00:00+00:00,bristol,rain,Rain,0.69,0.0686,rain,12.64,14.58,11.37,995.7,5.49,15.59,215.48,1.0,0.0
2022-11-01 01:00:00+00:00,bristol,rain,Rain,1.66,0.1655,rain,12.34,14.26,11.34,996.71,7.71,22.16,247.17,1.0,0.0
2022-11-01 02:00:00+00:00,bristol,rain,Rain,0.36,0.0365,rain,12.03,13.5,10.39,998.93,11.49,20.51,247.84,1.0,0.0
2022-11-01 03:00:00+00:00,bristol,cloudy,Cloudy,0.0,0.0,none,11.92,12.6,8.65,1001.1,11.32,15.59,246.61,1.0,0.0
2022-11-01 04:00:00+00:00,bristol,cloudy,Cloudy,0.01,0.0005,rain,12.05,12.85,8.93,1002.28,8.47,13.99,240.2,0.93,0.0
2022-11-01 05:00:00+00:00,bristol,partly-cloudy-night,Partly Cloudy,0.01,0.0009,rain,12.27,13.41,9.72,1003.13,7.14,14.05,219.95,0.59,0.0
2022-11-01 06:00:00+00:00,bristol,partly-cloudy-night,Partly Cloudy,0.0,0.0003,rain,12.51,13.86,10.15,1002.97,7.63,5.05,208.86,0.71,0.0
2022-11-01 07:00:00+00:00,bristol,cloudy,Cloudy,0.0,0.0,none,12.92,14.51,10.67,1002.94,8.08,4.53,208.76,0.96,0.0
2022-11-01 08:00:00+00:00,bristol,cloudy,Cloudy,0.0,0.0,none,12.71,13.86,9.73,1003.28,7.59,4.27,219.66,1.0,0.0
2022-11-01 09:00:00+00:00,bristol,cloudy,Cloudy,0.0,0.0,none,12.12,13.57,10.37,1004.55,5.94,4.78,243.25,0.8,0.0
2022-11-01 10:00:00+00:00,bristol,cloudy,Cloudy,0.0,0.0,none,12.77,14.08,10.08,1003.95,5.21,6.97,218.43,0.88,0.0
2022-11-01 11:00:00+00:00,bristol,cloudy,Cloudy,0.0,0.0,none,13.2,13.93,8.77,1004.75,5.86,10.09,203.07,0.84,0.0
2022-11-01 12:00:00+00:00,bristol,cloudy,Cloudy,0.0,0.0005,rain,12.63,13.28,8.58,1004.6,7.55,9.83,221.39,0.8,0.0
2022-11-01 13:00:00+00:00,bristol,cloudy,Cloudy,0.0,0.0,none,13.07,13.62,8.33,1005.04,6.81,7.42,216.96,0.87,0.0
2022-11-01 14:00:00+00:00,bristol,cloudy,Cloudy,0.02,0.0017,rain,13.43,13.68,7.62,1004.13,8.42,6.87,208.14,0.81,0.0
2022-11-01 15:00:00+00:00,bristol,partly-cloudy-day,Partly Cloudy,0.0,0.0003,rain,12.25,12.62,7.9,1004.13,10.09,8.87,222.56,0.74,0.0
2022-11-01 16:00:00+00:00,bristol,partly-cloudy-day,Partly Cloudy,0.04,0.0044,rain,11.63,12.0,7.89,1004.4,8.89,10.28,228.1,0.64,0.0
2022-11-01 17:00:00+00:00,bristol,rain,Rain,0.86,0.0856,rain,10.45,10.57,7.27,1005.14,7.59,10.93,228.4,0.81,0.0
2022-11-01 18:00:00+00:00,bristol,rain,Rain,0.73,0.0731,rain,9.79,6.6,6.85,1005.56,7.2,12.71,227.67,0.79,0.0
2022-11-01 19:00:00+00:00,bristol,rain,Rain,1.26,0.1258,rain,9.82,6.75,6.88,1005.9,6.84,12.42,222.19,0.73,0.0
2022-11-01 20:00:00+00:00,bristol,partly-cloudy-night,Partly Cloudy,0.1,0.01,rain,9.69,6.37,7.33,1006.24,7.54,14.22,222.44,0.72,0.0
2022-11-01 21:00:00+00:00,bristol,cloudy,Cloudy,0.0,0.0001,rain,9.65,6.2,7.21,1006.75,8.03,13.93,231.94,0.84,0.0
2022-11-01 22:00:00+00:00,bristol,cloudy,Cloudy,0.0,0.0002,rain,9.66,6.4,7.82,1008.18,7.32,11.76,240.72,0.81,0.0
2022-11-01 23:00:00+00:00,bristol,cloudy,Cloudy,0.04,0.0037,rain,9.91,6.57,7.31,1010.19,7.86,14.19,250.07,0.86,0.0
2022-11-02 00:00:00+00:00,bristol,partly-cloudy-night,Partly Cloudy,0.0,0.0,none,9.78,6.52,6.79,1011.86,7.42,11.21,246.83,0.71,0.0
2022-11-02 01:00:00+00:00,bristol,partly-cloudy-night,Partly Cloudy,0.01,0.0009,rain,9.58,6.56,6.62,1012.44,6.45,11.24,237.43,0.53,0.0
2022-11-02 02:00:00+00:00,bristol,partly-cloudy-night,Partly Cloudy,0.0,0.0001,rain,9.39,6.2,6.61,1013.41,6.78,10.73,232.31,0.68,0.0
