time,city,icon,summary,precipIntensity,precipAccumulation,precipType,temperature,apparentTemperature,dewPoint,pressure,windSpeed,windGust,windBearing,cloudCover,snowAccumulation
2022-11-01 07:00:00+00:00,la,cloudy,Cloudy,0.0,0.0,none,16.62,16.06,5.45,1011.72,1.39,3.73,96.25,0.84,0.0
2022-11-01 08:00:00+00:00,la,cloudy,Cloudy,0.0,0.0,none,16.15,15.68,5.71,1011.47,1.38,3.39,115.54,0.77,0.0
2022-11-01 09:00:00+00:00,la,partly-cloudy-night,Partly Cloudy,0.0,0.0,none,14.77,14.22,5.48,1011.81,1.15,3.25,126.2,0.43,0.0
2022-11-01 10:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,14.58,14.79,7.51,1011.68,0.97,3.55,120.9,0.14,0.0
2022-11-01 11:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,13.66,13.73,7.15,1011.56,1.0,3.93,97.33,0.05,0.0
2022-11-01 12:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,13.69,13.77,7.17,1011.49,1.33,4.35,74.36,0.13,0.0
2022-11-01 13:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,13.43,13.31,6.67,1011.7,1.58,4.41,70.65,0.11,0.0
2022-11-01 14:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,13.49,13.01,5.68,1011.92,1.52,4.44,75.33,0.16,0.0
2022-11-01 15:00:00+00:00,la,partly-cloudy-day,Partly Cloudy,0.01,0.0008,rain,14.41,13.59,4.67,1012.25,1.51,5.13,81.72,0.49,0.0
2022-11-01 16:00:00+00:00,la,cloudy,Cloudy,0.01,0.0006,rain,16.68,16.25,5.82,1013.02,1.25,6.95,128.65,0.77,0.0
2022-11-01 17:00:00+00:00,la,partly-cloudy-day,Partly Cloudy,0.0,0.0001,rain,17.83,18.11,7.66,1013.42,2.32,8.38,159.92,0.4,0.0
2022-11-01 18:00:00+00:00,la,clear-day,Clear,0.0,0.0001,rain,18.99,19.4,8.0,1013.35,3.3,10.17,168.42,0.18,0.0
2022-11-01 19:00:00+00:00,la,clear-day,Clear,0.0,0.0,none,19.82,20.53,8.7,1013.05,3.68,11.07,174.88,0.11,0.0
2022-11-01 20:00:00+00:00,la,clear-day,Clear,0.0,0.0,none,20.0,20.79,8.91,1012.16,4.04,10.95,176.67,0.21,0.0
2022-11-01 21:00:00+00:00,la,clear-day,Clear,0.0,0.0,none,20.33,21.25,9.21,1011.82,4.05,11.33,179.45,0.17,0.0
2022-11-01 22:00:00+00:00,la,clear-day,Clear,0.0,0.0,none,19.51,20.3,8.91,1011.12,3.74,10.87,174.09,0.16,0.0
2022-11-01 23:00:00+00:00,la,clear-day,Clear,0.0,0.0,none,18.65,19.65,9.39,1011.12,3.84,10.13,186.87,0.1,0.0
2022-11-02 00:00:00+00:00,la,partly-cloudy-day,Partly Cloudy,0.0,0.0004,rain,17.17,18.55,10.23,1011.78,3.81,8.05,198.34,0.39,0.0
2022-11-02 01:00:00+00:00,la,partly-cloudy-night,Partly Cloudy,0.02,0.002,rain,15.75,17.29,10.55,1012.7,2.87,5.38,200.17,0.55,0.0
2022-11-02 02:00:00+00:00,la,partly-cloudy-night,Partly Cloudy,0.01,0.0012,rain,15.34,16.99,10.78,1013.62,2.01,5.17,196.0,0.45,0.0
2022-11-02 03:00:00+00:00,la,partly-cloudy-night,Partly Cloudy,0.02,0.0018,rain,13.88,15.25,10.21,1013.72,1.8,5.02,178.97,0.55,0.0
2022-11-02 04:00:00+00:00,la,partly-cloudy-night,Partly Cloudy,0.05,0.005,rain,13.67,15.11,10.34,1014.31,1.8,4.65,183.46,0.45,0.0
2022-11-02 05:00:00+00:00,la,cloudy,Cloudy,0.02,0.0021,rain,13.33,14.84,10.49,1015.02,1.7,5.58,177.74,0.79,0.0
2022-11-02 06:00:00+00:00,la,cloudy,Cloudy,0.15,0.0147,rain,13.54,15.08,10.56,1015.24,1.99,7.1,164.72,0.92,0.0
2022-11-02 07:00:00+00:00,la,rain,Rain,0.24,0.0244,rain,13.44,14.98,10.56,1014.97,2.45,6.71,160.36,1.0,0.0
2022-11-02 08:00:00+00:00,la,rain,Rain,0.4,0.0401,rain,13.45,14.94,10.44,1015.08,2.41,6.16,156.76,0.96,0.0
2022-11-02 09:00:00+00:00,la,rain,Rain,0.68,0.0681,rain,12.92,14.25,10.1,1015.03,2.15,5.79,148.41,1.0,0.0
2022-11-02 10:00:00+00:00,la,rain,Rain,0.71,0.0709,rain,11.44,12.71,9.98,1015.56,1.85,4.96,151.08,0.97,0.0
2022-11-02 11:00:00+00:00,la,rain,Rain,0.54,0.0541,rain,11.32,12.84,10.51,1015.15,1.77,4.74,151.95,1.0,0.0
2022-11-02 12:00:00+00:00,la,rain,Rain,0.6,0.0603,rain,11.55,13.2,10.79,1014.96,1.66,5.07,149.37,1.0,0.0
2022-11-02 13:00:00+00:00,la,rain,Rain,0.4,0.0399,rain,11.71,13.44,10.95,1015.0,1.27,4.76,156.23,1.0,0.0
2022-11-02 14:00:00+00:00,la,rain,Rain,0.51,0.0512,rain,11.68,13.42,10.98,1015.17,0.86,4.42,188.38,1.0,0.0
2022-11-02 15:00:00+00:00,la,rain,Rain,0.3,0.0305,rain,11.53,13.14,10.7,1015.89,1.02,4.26,227.5,1.0,0.0
2022-11-02 16:00:00+00:00,la,cloudy,Cloudy,0.11,0.0106,rain,12.14,13.97,11.15,1016.74,0.93,4.8,263.98,1.0,0.0
2022-11-02 17:00:00+00:00,la,cloudy,Cloudy,0.07,0.0066,rain,13.26,14.5,9.93,1016.9,1.12,5.6,311.42,0.99,0.0
2022-11-02 18:00:00+00:00,la,cloudy,Cloudy,0.03,0.0028,rain,13.98,14.07,7.22,1016.79,1.22,6.7,319.18,0.99,0.0
2022-11-02 19:00:00+00:00,la,cloudy,Cloudy,0.01,0.0011,rain,14.93,14.3,5.22,1016.28,1.21,5.95,309.68,0.98,0.0
2022-11-02 20:00:00+00:00,la,partly-cloudy-day,Partly Cloudy,0.01,0.0009,rain,16.19,15.41,4.81,1015.59,1.31,6.72,290.53,0.74,0.0
2022-11-02 21:00:00+00:00,la,clear-day,Clear,0.0,0.0,none,17.35,16.09,3.3,1014.89,1.76,7.22,276.7,0.26,0.0
2022-11-02 22:00:00+00:00,la,clear-day,Clear,0.0,0.0,none,16.98,15.15,1.32,1014.5,2.21,8.17,251.61,0.23,0.0
2022-11-02 23:00:00+00:00,la,partly-cloudy-day,Partly Cloudy,0.0,0.0,none,17.12,15.22,1.0,1014.2,3.15,9.01,259.45,0.58,0.0
2022-11-03 00:00:00+00:00,la,partly-cloudy-day,Partly Cloudy,0.0,0.0,none,16.31,14.61,1.78,1014.22,3.31,7.16,259.31,0.64,0.0
2022-11-03 01:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,14.7,13.34,2.95,1014.22,1.71,6.11,248.55,0.04,0.0
2022-11-03 02:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,13.36,12.05,3.14,1014.95,1.22,5.71,268.49,0.02,0.0
2022-11-03 03:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,11.98,10.82,3.62,1015.16,0.83,5.75,294.28,0.0,0.0
2022-11-03 04:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,11.34,10.21,3.71,1015.38,0.93,5.45,320.75,0.02,0.0
2022-11-03 05:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,10.79,9.65,3.68,1015.56,1.0,5.43,322.48,0.0,0.0
2022-11-03 06:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,10.46,9.31,3.63,1015.83,0.95,4.34,324.96,0.02,0.0
2022-11-03 07:00:00+00:00,la,clear-night,Clear,0.03,0.0032,rain,10.1,8.95,3.65,1015.65,1.73,5.58,296.07,0.02,0.0
2022-11-03 08:00:00+00:00,la,clear-night,Clear,0.02,0.0021,rain,9.83,8.81,4.07,1015.95,2.22,5.78,291.01,0.06,0.0
2022-11-03 09:00:00+00:00,la,clear-night,Clear,0.01,0.0015,rain,8.54,7.61,4.2,1015.7,1.86,4.4,296.58,0.13,0.0
2022-11-03 10:00:00+00:00,la,clear-night,Clear,0.0,0.0001,rain,7.68,6.62,2.9,1015.91,1.85,4.35,311.1,0.3,0.0
2022-11-03 11:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,7.4,6.59,2.49,1015.51,1.56,5.08,342.93,0.33,0.0
2022-11-03 12:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,6.84,6.24,2.27,1015.9,1.34,6.15,338.63,0.24,0.0
2022-11-03 13:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,6.83,5.47,1.71,1016.18,2.01,6.49,345.55,0.02,0.0
2022-11-03 14:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,6.77,5.58,1.51,1016.43,1.83,6.73,355.79,0.01,0.0
2022-11-03 15:00:00+00:00,la,clear-day,Clear,0.0,0.0,none,7.89,7.18,1.03,1017.33,1.54,8.35,357.68,0.1,0.0
2022-11-03 16:00:00+00:00,la,clear-day,Clear,0.0,0.0,none,9.41,8.3,0.2,1018.04,2.24,9.62,343.73,0.04,0.0
2022-11-03 17:00:00+00:00,la,clear-day,Clear,0.0,0.0,none,10.91,8.7,-0.19,1018.46,3.07,10.2,339.07,0.01,0.0
2022-11-03 18:00:00+00:00,la,clear-day,Clear,0.0,0.0,none,12.32,9.83,-1.4,1018.32,3.24,9.66,336.35,0.07,0.0
2022-11-03 19:00:00+00:00,la,clear-day,Clear,0.0,0.0,none,13.12,10.53,-1.84,1018.18,3.37,9.43,335.73,0.14,0.0
2022-11-03 20:00:00+00:00,la,clear-day,Clear,0.0,0.0,none,14.14,11.46,-2.22,1017.41,3.2,9.55,335.3,0.2,0.0
2022-11-03 21:00:00+00:00,la,clear-day,Clear,0.0,0.0,none,15.27,12.54,-2.5,1016.81,3.22,9.88,333.0,0.2,0.0
2022-11-03 22:00:00+00:00,la,clear-day,Clear,0.0,0.0,none,14.96,12.29,-2.2,1017.59,3.45,9.78,326.1,0.0,0.0
2022-11-03 23:00:00+00:00,la,clear-day,Clear,0.0,0.0,none,14.35,11.78,-1.75,1017.72,2.96,9.62,329.2,0.01,0.0
2022-11-04 00:00:00+00:00,la,clear-day,Clear,0.0,0.0,none,13.6,10.94,-2.14,1018.16,2.93,7.18,331.9,0.01,0.0
2022-11-04 01:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,12.24,9.53,-2.39,1018.72,2.2,5.72,335.36,0.0,0.0
2022-11-04 02:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,11.02,8.28,-2.56,1020.1,2.25,5.39,346.53,0.0,0.0
2022-11-04 03:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,9.55,8.83,-2.45,1020.7,1.8,5.46,356.46,0.0,0.0
2022-11-04 04:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,9.04,8.21,-2.0,1021.15,1.83,5.74,3.14,0.0,0.0
2022-11-04 05:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,8.47,7.32,-1.98,1022.08,2.09,6.08,11.39,0.0,0.0
2022-11-04 06:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,8.03,6.64,-1.47,1022.87,2.28,5.93,16.08,0.0,0.0
2022-11-04 07:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,7.57,6.07,-1.57,1022.8,2.32,6.04,16.25,0.0,0.0
2022-11-04 08:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,7.88,6.38,-1.49,1023.04,2.4,6.22,18.17,0.0,0.0
2022-11-04 09:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,6.68,4.88,-2.6,1023.13,2.49,6.05,20.64,0.0,0.0
2022-11-04 10:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,6.49,4.65,-2.85,1023.42,2.51,6.12,24.24,0.11,0.0
2022-11-04 11:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,5.79,3.79,-4.07,1023.65,2.54,6.13,22.38,0.3,0.0
2022-11-04 12:00:00+00:00,la,clear-night,Clear,0.0,0.0,none,6.0,4.1,-4.35,1024.07,2.47,5.83,22.18,0.25,0.0
2022-11-04 13:00:00+00:00,la,cloudy,Cloudy,0.0,0.0,none,5.9,4.0,-4.43,1024.45,2.43,5.73,23.26,0.9,0.0
2022-11-04 14:00:00+00:00,la,cloudy,Cloudy,0.0,0.0,none,5.91,3.95,-5.06,1024.94,2.52,5.92,23.19,0.85,0.0
