time,city,icon,summary,precipIntensity,precipAccumulation,precipType,temperature,apparentTemperature,dewPoint,pressure,windSpeed,windGust,windBearing,cloudCover,snowAccumulation
2022-11-01 00:00:00+00:00,reykjavik,cloudy,Cloudy,0.04,0.0037,rain,5.31,1.92,4.13,984.72,4.58,10.45,197.84,1.0,0.0
2022-11-01 01:00:00+00:00,reykjavik,cloudy,Cloudy,0.04,0.0043,rain,5.28,1.91,3.97,985.53,4.51,10.34,198.03,1.0,0.0
2022-11-01 02:00:00+00:00,reykjavik,cloudy,Cloudy,0.07,0.0066,rain,5.2,1.67,3.66,986.34,4.79,10.08,198.12,1.0,0.0
2022-11-01 03:00:00+00:00,reykjavik,cloudy,Cloudy,0.07,0.0067,rain,4.99,1.51,3.03,987.18,4.58,9.03,199.45,0.96,0.0
2022-11-01 04:00:00+00:00,reykjavik,partly-cloudy-night,Partly Cloudy,0.03,0.0029,rain,5.04,1.95,2.79,987.88,3.89,6.9,197.87,0.61,0.0
2022-11-01 05:00:00+00:00,reykjavik,partly-cloudy-night,Partly Cloudy,0.0,0.0005,rain,4.96,2.55,2.44,988.62,2.85,4.97,187.41,0.54,0.0
2022-11-01 06:00:00+00:00,reykjavik,partly-cloudy-night,Partly Cloudy,0.06,0.0057,snow,4.8,2.85,2.29,989.29,2.28,17.59,174.25,0.53,0.01
2022-11-01 07:00:00+00:00,reykjavik,cloudy,Cloudy,0.03,0.0029,snow,4.67,3.12,2.33,989.42,1.86,17.76,157.91,0.9,0.0
2022-11-01 08:00:00+00:00,reykjavik,cloudy,Cloudy,0.01,0.0014,snow,4.09,2.37,2.2,990.16,1.93,17.97,141.26,0.99,0.0
2022-11-01 09:00:00+00:00,reykjavik,cloudy,Cloudy,0.0,0.0005,snow,3.73,2.12,2.17,990.31,1.78,17.81,114.64,1.0,0.0
2022-11-01 10:00:00+00:00,reykjavik,cloudy,Cloudy,0.01,0.001,snow,3.72,1.84,2.34,990.42,2.02,17.23,85.89,1.0,0.0
2022-11-01 11:00:00+00:00,reykjavik,cloudy,Cloudy,0.01,0.001,snow,3.67,1.32,2.48,990.38,2.5,19.29,90.12,1.0,0.0
2022-11-01 12:00:00+00:00,reykjavik,cloudy,Cloudy,0.01,0.0014,snow,4.67,2.39,2.95,990.65,2.63,20.18,71.05,1.0,0.0
2022-11-01 13:00:00+00:00,reykjavik,cloudy,Cloudy,0.03,0.0029,snow,4.91,2.67,3.01,990.11,2.64,20.42,55.0,1.0,0.0
2022-11-01 14:00:00+00:00,reykjavik,cloudy,Cloudy,0.11,0.0114,rain,5.05,3.04,3.04,989.62,2.39,19.26,47.69,1.0,0.03
2022-11-01 15:00:00+00:00,reykjavik,snow,Snow,3.95,0.3946,snow,5.08,3.33,2.77,989.0,2.11,17.07,29.37,0.6,0.2
2022-11-01 16:00:00+00:00,reykjavik,cloudy,Cloudy,0.0,0.0002,rain,4.65,2.7,2.57,988.23,2.24,15.25,21.0,0.94,0.0
2022-11-01 17:00:00+00:00,reykjavik,cloudy,Cloudy,0.0,0.0001,rain,3.39,0.74,1.47,988.24,2.77,13.79,25.12,1.0,0.0
2022-11-01 18:00:00+00:00,reykjavik,cloudy,Cloudy,0.0,0.0,none,3.42,0.36,1.2,987.52,3.32,12.81,22.83,0.98,0.0
2022-11-01 19:00:00+00:00,reykjavik,cloudy,Cloudy,0.0,0.0,none,3.51,0.52,1.15,986.68,3.24,10.67,17.26,0.96,0.0
2022-11-01 20:00:00+00:00,reykjavik,cloudy,Cloudy,0.0,0.0,none,3.07,-0.17,0.69,986.49,3.45,8.51,24.21,0.94,0.0
2022-11-01 21:00:00+00:00,reykjavik,cloudy,Cloudy,0.0,0.0,none,2.84,-0.3,0.66,985.57,3.26,6.77,20.89,1.0,0.0
2022-11-01 22:00:00+00:00,reykjavik,cloudy,Cloudy,0.0,0.0,none,2.19,-1.09,-0.16,985.13,3.26,5.88,27.68,1.0,0.0
2022-11-01 23:00:00+00:00,reykjavik,cloudy,Cloudy,0.0,0.0,none,2.11,-1.28,-0.32,984.77,3.38,5.2,24.91,1.0,0.0
2022-11-02 00:00:00+00:00,reykjavik,cloudy,Cloudy,0.0,0.0,none,1.85,-1.64,-0.36,984.27,3.43,8.13,25.83,1.0,0.0
2022-11-02 01:00:00+00:00,reykjavik,cloudy,Cloudy,0.0,0.0,none,1.89,-1.7,-0.33,983.82,3.59,8.89,29.23,1.0,0.0
2022-11-02 02:00:00+00:00,reykjavik,cloudy,Cloudy,0.0,0.0,none,2.17,-1.64,-0.27,983.4,4.0,9.41,31.7,0.99,0.0
2022-11-02 03:00:00+00:00,reykjavik,cloudy,Cloudy,0.0,0.0,none,2.09,-1.77,-0.47,983.05,4.07,9.41,33.16,0.98,0.0
2022-11-02 04:00:00+00:00,reykjavik,cloudy,Cloudy,0.0,0.0,none,1.98,-1.97,-0.51,982.71,4.16,9.62,31.4,1.0,0.0
2022-11-02 05:00:00+00:00,reykjavik,cloudy,Cloudy,0.0,0.0,none,1.79,-2.1,-0.58,982.73,4.0,9.8,30.19,1.0,0.0
2022-11-02 06:00:00+00:00,reykjavik,cloudy,Cloudy,0.0,0.0,none,1.54,-2.28,-0.66,982.5,3.8,8.44,26.72,1.0,0.0
2022-11-02 07:00:00+00:00,reykjavik,cloudy,Cloudy,0.0,0.0,none,1.44,-2.38,-0.68,982.46,3.78,8.72,20.29,1.0,0.0
2022-11-02 08:00:00+00:00,reykjavik,cloudy,Cloudy,0.0,0.0,none,1.34,-2.57,-0.66,982.68,3.88,9.16,18.09,0.98,0.0
2022-11-02 09:00:00+00:00,reykjavik,cloudy,Cloudy,0.01,0.001,snow,1.18,-3.0,-0.81,982.43,4.23,9.83,18.24,0.99,0.0
2022-11-02 10:00:00+00:00,reykjavik,cloudy,Cloudy,0.1,0.0095,snow,1.24,-2.71,-0.74,982.71,3.9,10.46,13.63,0.99,0.01
2022-11-02 11:00:00+00:00,reykjavik,cloudy,Cloudy,0.02,0.002,rain,1.68,-2.44,-0.34,982.74,4.31,11.14,18.98,0.86,0.0
2022-11-02 12:00:00+00:00,reykjavik,partly-cloudy-day,Partly Cloudy,0.02,0.0022,rain,2.14,-2.14,0.18,982.82,4.79,11.59,24.77,0.72,0.0
2022-11-02 13:00:00+00:00,reykjavik,partly-cloudy-day,Partly Cloudy,0.02,0.0019,rain,2.39,-1.98,0.3,982.92,5.05,12.02,26.04,0.69,0.0
2022-11-02 14:00:00+00:00,reykjavik,partly-cloudy-day,Partly Cloudy,0.02,0.0019,rain,2.64,-1.89,0.33,983.05,5.52,12.27,25.5,0.64,0.0
2022-11-02 15:00:00+00:00,reykjavik,partly-cloudy-day,Partly Cloudy,0.01,0.0011,rain,2.73,-1.8,0.26,983.15,5.56,11.9,24.28,0.7,0.0
2022-11-02 16:00:00+00:00,reykjavik,partly-cloudy-day,Partly Cloudy,0.0,0.0003,rain,2.74,-1.69,0.29,983.26,5.35,11.98,22.3,0.41,0.0
2022-11-02 17:00:00+00:00,reykjavik,clear-day,Clear,0.0,0.0001,rain,2.6,-1.81,0.1,983.93,5.24,11.82,20.81,0.26,0.0
2022-11-02 18:00:00+00:00,reykjavik,clear-night,Clear,0.0,0.0,rain,2.45,-1.91,0.08,984.51,5.09,10.27,20.59,0.22,0.0
2022-11-02 19:00:00+00:00,reykjavik,clear-night,Clear,0.0,0.0,none,2.43,-1.77,0.11,985.03,4.77,9.82,19.17,0.22,0.0
2022-11-02 20:00:00+00:00,reykjavik,clear-night,Clear,0.0,0.0,none,2.31,-1.82,0.09,985.91,4.58,10.1,18.38,0.23,0.0
2022-11-02 21:00:00+00:00,reykjavik,clear-night,Clear,0.0,0.0,none,2.31,-1.72,0.11,986.2,4.42,9.9,16.22,0.22,0.0
2022-11-02 22:00:00+00:00,reykjavik,clear-night,Clear,0.0,0.0,none,2.45,-1.31,0.09,987.26,4.02,10.25,10.09,0.27,0.0
2022-11-02 23:00:00+00:00,reykjavik,clear-night,Clear,0.0,0.0,none,2.65,-1.35,0.3,988.08,4.51,10.64,11.58,0.35,0.0
2022-11-03 00:00:00+00:00,reykjavik,partly-cloudy-night,Partly Cloudy,0.0,0.0,none,2.68,-1.49,0.43,988.48,4.82,10.96,16.14,0.48,0.0
